Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
65, 4096, 1, 1, 64, 0.504264, 0.39489, N/A, 0.00683196, 0.0135248, 8.67993, 0.0657346, 2, 2, 2, 4, 1, 1, 69.6599, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 1, 32, 0.325537, 0.255295, N/A, 0.00218408, 0.00427357, 3.73539, 0.0258169, 2, 2, 2, 4, 1, 1, 71.131, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1024, 1, 1, 32, 0.304322, 0.224588, N/A, 0.00128374, 0.00388394, 2.06614, 0.0152087, 2, 2, 1, 2, 1, 1, 60.3729, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 512, 1, 1, 32, 0.212122, 0.161838, N/A, 0.000947547, 0.0020125, 0.956482, 0.00441968, 2, 2, 1, 2, 1, 1, 62.0718, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 1, 64, 0.294885, 0.229512, N/A, 0.00228947, 0.00661492, 3.34478, 0.0158375, 2, 2, 1, 2, 1, 1, 69.2882, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
